[Ag+].NC1=CC=C(C=C1)S(=O)(=O)\N=C1\[N-]C=CC=N1	Toxic
[Al+3].CCC(C)[O-].CCC(C)[O-].CCOC(=O)\C=C(\C)[O-]	Nontoxic
[As]#[In]	Nontoxic
[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O	Nontoxic
[Ba++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O	Toxic
[Be++].O.O.O.O.[O-]S([O-])(=O)=O	Nontoxic
[Br-].[Br-].C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C	Nontoxic
[Br-].[Br-].C[N+](C)(CCCCCC[N+](C)(C)C1C2=C(C=CC=C2)C2=C1C=CC=C2)C1C2=C(C=CC=C2)C2=C1C=CC=C2	Nontoxic
[Br-].[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1	Toxic
[Br-].[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CC[N+](C)(C)CC1)N1CC[N+](C)(C)CC1	Toxic
[Br-].[Br-].CN(CCCCCCCCCCN(C)C(=O)OC1=C(C=CC=C1)[N+](C)(C)C)C(=O)OC1=C(C=CC=C1)[N+](C)(C)C	Nontoxic
[Br-].[H][C@@]12O[C@]1([H])[C@H]1C[C@H](C[C@@H]2[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1	Nontoxic
[Br-].[H][C@@]12O[C@]1([H])[C@H]1CC(C[C@@H]2[N+]1(C)C)OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1	Toxic
[Br-].C[N@+]12CCCC[C@@H]1CCC(C2)=C(C1=CC=CS1)C1=CC=CS1	Toxic
[Br-].C[N+](C)(C)CCO	Nontoxic
[Br-].C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	Nontoxic
[Br-].C[N+]1(CCC(C(N)=O)(C2=CC=CC=C2)C2=CC=CC=C2)CCCCC1	Toxic
[Br-].C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	Nontoxic
[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1	Toxic
[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1	Toxic
[Br-].CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	Nontoxic
[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	Toxic
[Br-].CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	Nontoxic
[Br-].CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	Nontoxic
[Br-].CC[N+](CC)(CC)CC	Nontoxic
[Br-].CC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C1CCCC1	Nontoxic
[Br-].CC[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	Nontoxic
[Br-].CC[N+]1(C)CCCC1	Nontoxic
[Br-].CC[N+]1(CC)CCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	Nontoxic
[Br-].CC[N+]1(CC)CCC(C1C)=C(C1=CC=CC=C1)C1=CC=CC=C1	Toxic
[Br-].CC[N+]1(CCOC(=O)C(O)(C2=CC=CC=C2)C2=CC=CC=C2)CCCCC1	Toxic
[Br-].CC[N+]1=C(C2=CC=CC=C2)C2=CC(N)=CC=C2C2=CC=C(N)C=C12	Nontoxic
[Br-].CC[N+]1=CC=CC=C1	Nontoxic
[Br-].CCC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(CC=C)CCCCC1	Nontoxic
[Br-].CCC(C)C(C(=O)OCC[N+](C)(CC)CC)C1=CC=CC=C1	Nontoxic
[Br-].CCC[N+](CCC)(CCC)CCC	Nontoxic
[Br-].CCC[N+]1(C)CCCC1	Nontoxic
[Br-].CCC[N+]1(C)CCCCC1	Nontoxic
[Br-].CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C	Nontoxic
[Br-].CCCC[N+](CCCC)(CCCC)CCCC	Nontoxic
[Br-].CCCC[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	Toxic
[Br-].CCCC[N+]1(C)CCCC1	Nontoxic
[Br-].CCCC[N+]1(C)CCCCC1	Nontoxic
[Br-].CCCC[N+]1=CC=C(C)C=C1	Nontoxic
[Br-].CCCC[N+]1=CC=CC(C)=C1	Nontoxic
[Br-].CCCC[N+]1=CC=CC=C1	Toxic
[Br-].CCCC[N+]1=CC=CC=C1C	Nontoxic
[Br-].CCCC[P+](CCCC)(CCCC)CCCC	Toxic
[Br-].CCCCCC[N+]1=CC=CC=C1	Toxic
[Br-].CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC	Toxic
[Br-].CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC	Toxic
[Br-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	Nontoxic
[Br-].CCCCCCCCCCCC[N+](C)(C)C	Nontoxic
[Br-].CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1	Nontoxic
[Br-].CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC	Nontoxic
[Br-].CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1	Toxic
[Br-].CCCCCCCCCCCCCC[N+](C)(C)C	Nontoxic
[Br-].CCCCCCCCCCCCCC[N+]1=CC=CC=C1	Toxic
[Br-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC	Nontoxic
[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)C	Toxic
[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CC	Toxic
[Br-].CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(OC)C=C1)C1=NC=CC=N1	Toxic
[Br-].CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1	Nontoxic
[Br-].CCCCCCCCCCCCN1C=C[N+](C)=C1	Nontoxic
[Br-].CCCCCCCCCCN1C=C[N+](C)=C1	Nontoxic
[Br-].CCCCCCCCOC1=CC=CC=C1C(=O)NC1=CC=C(C=C1)C(=O)OCC[N+](C)(CC)CC	Toxic
[Br-].CCCCCCN1C=C[N+](C)=C1	Nontoxic
[Br-].CCCCN1C=C[N+](C)=C1C	Nontoxic
